"Date","Price","Open","High","Low","Change %"
"17-03-2026","5.680","5.664","5.683","5.654","0.28%"
"16-03-2026","5.664","5.662","5.703","5.662","0.02%"
"13-03-2026","5.663","5.662","5.663","5.639","-0.02%"
"12-03-2026","5.664","5.631","5.702","5.622","0.59%"
"11-03-2026","5.631","5.595","5.711","5.592","0.64%"
"10-03-2026","5.595","5.712","5.755","5.595","-2.05%"
"09-03-2026","5.712","5.639","5.729","5.639","1.28%"
"06-03-2026","5.640","5.601","5.670","5.589","1.18%"
"05-03-2026","5.574","5.564","5.694","5.564","0.16%"
"04-03-2026","5.565","5.616","5.663","5.565","-0.91%"
"03-03-2026","5.616","5.616","5.616","5.616","0.00%"
"02-03-2026","5.616","5.532","5.660","5.530","1.50%"
"27-02-2026","5.533","5.529","5.568","5.505","0.04%"
"26-02-2026","5.531","5.617","5.617","5.531","-1.53%"
"25-02-2026","5.617","5.582","5.622","5.579","0.63%"
"24-02-2026","5.582","5.595","5.606","5.582","-0.23%"
"23-02-2026","5.595","5.639","5.664","5.595","-0.80%"
"20-02-2026","5.640","5.664","5.681","5.567","-0.42%"
"19-02-2026","5.664","5.664","5.664","5.664","0.00%"
"18-02-2026","5.664","5.645","5.667","5.545","0.32%"
"17-02-2026","5.646","5.650","5.695","5.591","-0.09%"
"16-02-2026","5.651","5.651","5.659","5.584","0.00%"
"13-02-2026","5.651","5.700","5.700","5.651","-0.86%"
"12-02-2026","5.700","5.691","5.702","5.609","0.16%"
"11-02-2026","5.691","5.666","5.729","5.641","0.44%"
"10-02-2026","5.666","5.710","5.777","5.656","-0.77%"
"09-02-2026","5.710","5.669","5.710","5.631","0.72%"
"06-02-2026","5.669","5.669","5.766","5.669","-0.02%"
"05-02-2026","5.670","5.721","5.761","5.649","-0.89%"
"04-02-2026","5.721","5.677","5.780","5.641","0.78%"
"03-02-2026","5.677","5.703","5.707","5.610","-0.47%"
"02-02-2026","5.704","5.693","5.810","5.693","0.18%"
"30-01-2026","5.694","5.750","5.763","5.685","-0.99%"
"29-01-2026","5.751","5.766","5.797","5.751","-0.26%"
"28-01-2026","5.766","5.788","5.801","5.751","-0.40%"
"27-01-2026","5.789","5.775","5.799","5.745","0.24%"
"26-01-2026","5.775","5.775","5.775","5.775","0.00%"
"23-01-2026","5.775","5.768","5.792","5.765","0.10%"
"22-01-2026","5.769","5.804","5.814","5.767","-0.62%"
"21-01-2026","5.805","5.741","5.805","5.720","1.11%"
"20-01-2026","5.741","5.743","5.837","5.741","-0.03%"
"19-01-2026","5.743","5.712","5.743","5.712","0.53%"
"16-01-2026","5.713","5.696","5.751","5.696","0.28%"
"15-01-2026","5.697","5.697","5.697","5.697","0.00%"
"14-01-2026","5.697","5.659","5.711","5.653","0.65%"
"13-01-2026","5.660","5.659","5.680","5.655","0.02%"
"12-01-2026","5.659","5.638","5.659","5.625","0.35%"
"09-01-2026","5.639","5.655","5.671","5.639","-0.30%"
"08-01-2026","5.656","5.667","5.689","5.650","-0.19%"
"07-01-2026","5.667","5.672","5.700","5.657","-0.09%"
"06-01-2026","5.672","5.647","5.672","5.602","0.44%"
"05-01-2026","5.647","5.676","5.721","5.647","-0.53%"
"02-01-2026","5.677","5.692","5.706","5.677","-0.28%"
"01-01-2026","5.693","5.578","5.712","5.578","2.04%"
"31-12-2025","5.579","5.599","5.611","5.579","-0.37%"
"30-12-2025","5.600","5.670","5.672","5.595","-1.23%"
"29-12-2025","5.670","5.582","5.720","5.575","1.58%"
"26-12-2025","5.582","5.444","5.582","5.444","2.53%"
"25-12-2025","5.444","5.444","5.444","5.444","0.00%"
"24-12-2025","5.444","5.438","5.444","5.429","0.11%"
"23-12-2025","5.438","5.444","5.448","5.438","-0.11%"
"22-12-2025","5.444","5.446","5.450","5.439","-0.04%"
"19-12-2025","5.446","5.446","5.446","5.444","0.02%"
"18-12-2025","5.445","5.494","5.495","5.445","-0.89%"
"17-12-2025","5.494","5.501","5.502","5.492","-0.13%"
"16-12-2025","5.501","5.506","5.511","5.501","-0.11%"
"15-12-2025","5.507","5.495","5.544","5.488","0.22%"
"12-12-2025","5.495","5.495","5.596","5.495","-0.02%"
"11-12-2025","5.496","5.494","5.556","5.457","0.04%"
"10-12-2025","5.494","5.464","5.534","5.462","0.53%"
"09-12-2025","5.465","5.516","5.516","5.465","-0.94%"
"08-12-2025","5.517","5.509","5.567","5.507","0.64%"
"05-12-2025","5.482","5.595","5.621","5.482","-1.42%"
"04-12-2025","5.561","5.628","5.628","5.561","-0.22%"
