date,tenor_years,yield_percent,source_id,notes
2024-05-16,1.0,7.062,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-17,1.0,7.066,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-21,1.0,7.023,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-22,1.0,7.02,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-24,1.0,7.007,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-27,1.0,6.989,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-28,1.0,7.021,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-29,1.0,7.033,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-30,1.0,7.021,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-05-31,1.0,6.939,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-03,1.0,6.958,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-04,1.0,7.013,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-05,1.0,7.059,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-06,1.0,7.001,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-07,1.0,7.047,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-10,1.0,7.0,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-11,1.0,7.004,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-12,1.0,7.012,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-13,1.0,6.963,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-14,1.0,6.985,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-18,1.0,6.983,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-19,1.0,6.977,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-20,1.0,6.945,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-21,1.0,6.952,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-24,1.0,6.937,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-25,1.0,6.963,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-26,1.0,6.96,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-27,1.0,6.95,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-06-28,1.0,6.936,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-01,1.0,6.953,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-02,1.0,6.956,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-03,1.0,6.943,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-04,1.0,6.915,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-05,1.0,6.919,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-08,1.0,6.907,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-09,1.0,6.907,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-10,1.0,6.928,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-11,1.0,6.907,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
